City,State_Province,Country,Group_ID,city_order,Cluster,Image,Result,Reason for 2 or 3
Xalapa,Mexico,Mexico,12,3,2,8,1 good,
Xalapa,Mexico,Mexico,12,3,3,1,1 good,
Xalapa,Mexico,Mexico,12,3,3,2,1 good,
Xalapa,Mexico,Mexico,12,3,3,3,1 good,
Xalapa,Mexico,Mexico,12,3,3,4,1 good,
Xalapa,Mexico,Mexico,12,3,3,5,1 good,
Xalapa,Mexico,Mexico,12,3,3,6,1 good,
Xalapa,Mexico,Mexico,12,3,3,7,1 good,
Xalapa,Mexico,Mexico,12,3,3,8,1 good,
Xalapa,Mexico,Mexico,12,3,4,1,1 good,
Xalapa,Mexico,Mexico,12,3,4,2,1 good,
Xalapa,Mexico,Mexico,12,3,4,3,1 good,
Xalapa,Mexico,Mexico,12,3,4,4,1 good,
Xalapa,Mexico,Mexico,12,3,4,5,1 good,
Xalapa,Mexico,Mexico,12,3,4,6,1 good,
Xalapa,Mexico,Mexico,12,3,4,7,1 good,
Xalapa,Mexico,Mexico,12,3,4,8,1 good,
Xalapa,Mexico,Mexico,12,3,5,1,1 good,
Xalapa,Mexico,Mexico,12,3,5,2,1 good,
Xalapa,Mexico,Mexico,12,3,5,3,1 good,
Xalapa,Mexico,Mexico,12,3,5,4,1 good,
Xalapa,Mexico,Mexico,12,3,5,5,1 good,
Xalapa,Mexico,Mexico,12,3,5,6,1 good,
Xalapa,Mexico,Mexico,12,3,5,7,1 good,
Xalapa,Mexico,Mexico,12,3,5,8,1 good,
Xalapa,Mexico,Mexico,12,3,6,1,1 good,
Xalapa,Mexico,Mexico,12,3,6,2,1 good,
Xalapa,Mexico,Mexico,12,3,6,3,1 good,
Xalapa,Mexico,Mexico,12,3,6,4,1 good,
Xalapa,Mexico,Mexico,12,3,6,5,3 exclude,only cars 
Xalapa,Mexico,Mexico,12,3,6,6,1 good,
Xalapa,Mexico,Mexico,12,3,6,7,1 good,
Xalapa,Mexico,Mexico,12,3,6,8,1 good,
Xalapa,Mexico,Mexico,12,3,7,1,1 good,
Xalapa,Mexico,Mexico,12,3,7,2,3 exclude,nature
Xalapa,Mexico,Mexico,12,3,7,3,3 exclude,nature
Xalapa,Mexico,Mexico,12,3,7,4,1 good,
Xalapa,Mexico,Mexico,12,3,7,5,1 good,
Xalapa,Mexico,Mexico,12,3,7,6,3 exclude,nature
Xalapa,Mexico,Mexico,12,3,7,7,1 good,
Xalapa,Mexico,Mexico,12,3,7,8,3 exclude,nature
Xalapa,Mexico,Mexico,12,3,8,1,1 good,
Xalapa,Mexico,Mexico,12,3,8,2,1 good,
Xalapa,Mexico,Mexico,12,3,8,3,1 good,
Xalapa,Mexico,Mexico,12,3,8,4,1 good,
Xalapa,Mexico,Mexico,12,3,8,5,1 good,
Xalapa,Mexico,Mexico,12,3,8,6,1 good,
Xalapa,Mexico,Mexico,12,3,8,7,1 good,
Xalapa,Mexico,Mexico,12,3,8,8,1 good,
Stockton,California,United States,12,4,1,1,1 good,
Stockton,California,United States,12,4,1,2,1 good,
Stockton,California,United States,12,4,1,3,1 good,
Stockton,California,United States,12,4,1,4,2 need discuss,blocked by ad car
Stockton,California,United States,12,4,1,5,1 good,
Stockton,California,United States,12,4,1,6,1 good,
Stockton,California,United States,12,4,1,7,1 good,
Stockton,California,United States,12,4,1,8,1 good,
Stockton,California,United States,12,4,2,1,1 good,
Stockton,California,United States,12,4,2,2,1 good,
Stockton,California,United States,12,4,2,3,1 good,
Stockton,California,United States,12,4,2,4,1 good,
Stockton,California,United States,12,4,2,5,1 good,
Stockton,California,United States,12,4,2,6,1 good,
Stockton,California,United States,12,4,2,7,1 good,
Stockton,California,United States,12,4,2,8,1 good,
Stockton,California,United States,12,4,3,1,1 good,
Stockton,California,United States,12,4,3,2,1 good,
Stockton,California,United States,12,4,3,3,1 good,
Stockton,California,United States,12,4,3,4,1 good,
Stockton,California,United States,12,4,3,5,1 good,
Stockton,California,United States,12,4,3,6,1 good,
Stockton,California,United States,12,4,3,7,1 good,
Stockton,California,United States,12,4,3,8,1 good,
Stockton,California,United States,12,4,4,1,3 exclude,
Stockton,California,United States,12,4,4,2,1 good,
Stockton,California,United States,12,4,4,3,3 exclude,
Stockton,California,United States,12,4,4,4,3 exclude,
Stockton,California,United States,12,4,4,5,1 good,
Stockton,California,United States,12,4,4,6,1 good,
Stockton,California,United States,12,4,4,7,1 good,
Stockton,California,United States,12,4,4,8,1 good,
Stockton,California,United States,12,4,5,1,1 good,
Stockton,California,United States,12,4,5,2,2 need discuss,park?
Stockton,California,United States,12,4,5,3,1 good,
Stockton,California,United States,12,4,5,4,2 need discuss,park?
Stockton,California,United States,12,4,5,5,3 exclude,
Stockton,California,United States,12,4,5,6,1 good,
Stockton,California,United States,12,4,5,7,1 good,
Stockton,California,United States,12,4,5,8,1 good,
Stockton,California,United States,12,4,6,1,1 good,
Stockton,California,United States,12,4,6,2,1 good,
Stockton,California,United States,12,4,6,3,1 good,
Stockton,California,United States,12,4,6,4,3 exclude,
Stockton,California,United States,12,4,6,5,1 good,
Stockton,California,United States,12,4,6,6,1 good,
Stockton,California,United States,12,4,6,7,1 good,
Stockton,California,United States,12,4,6,8,1 good,
Stockton,California,United States,12,4,7,1,1 good,
Stockton,California,United States,12,4,7,2,1 good,
Stockton,California,United States,12,4,7,3,1 good,
Stockton,California,United States,12,4,7,4,3 exclude,
